SceneNumber,StartFrame,EndFrame,Text,Face,Person,Objects,Background,quality,faces_avg_number,color_colorfulness_mean,color_saturation_mean,color_value_mean,color_black_mean,color_blue_mean,color_brown_mean,color_grey_mean,color_green_mean,color_orange_mean,color_pink_mean,color_purple_mean,color_red_mean,color_white_mean,color_yellow_mean,color_colorfulness_variance,color_saturation_variance,color_value_variance,color_black_variance,color_blue_variance,color_brown_variance,color_grey_variance,color_green_variance,color_orange_variance,color_pink_variance,color_purple_variance,color_red_variance,color_white_variance,color_yellow_variance,faces_ratio,length
1,0,119,0.0351012152777778,0.0,0.0,0.0,0.964898784722223,1668.6725643299355,0.0,0.8079420003295441,0.3843137254901953,0.3075168846629104,0.0059915966386554,0.0,0.004,0.0029915966386554,0.9661176470588247,0.0,0.0034957983193277,0.0,0.0,0.0120924369747899,0.0048991596638655,1.1630949957837724e-06,6.090900342086494e-31,4.918605721939672e-05,8.403361344537727e-09,0.0,6.828227523962956e-36,8.403361344537907e-09,1.3419740777667009e-06,0.0,2.52100840336134e-07,0.0,0.0,8.460333285856675e-08,9.143996581683537e-08,0.0,4.96
2,120,155,0.0,0.0,0.0,0.0,1.0,46.32510406627716,0.0,0.0227668845315904,0.0106753812636165,0.0082059681130451,0.9723888888888887,0.0,0.0001111111111111,5.555555555555556e-05,0.0268888888888888,0.0,8.333333333333333e-05,0.0,0.0,0.0003333333333333,0.0001388888888888,0.0186599171258917,0.0041026955444487,0.0024241648562033,0.0274454444444444,0.0,4.444444444444455e-07,1.1111111111111137e-07,0.0260284444444444,0.0,2.4999999999999946e-07,0.0,0.0,3.999999999999991e-06,6.944444444444454e-07,0.0,1.5
3,156,200,0.0,0.0,0.0170340740740741,0.0088457253086419,0.974120200617284,522.6750506446847,0.0,0.3773420479302833,0.3807407407407409,0.6245579405136881,0.3231777777777778,0.0011555555555555,0.3618444444444444,0.0495111111111111,0.1094,0.0103111111111111,0.0170888888888889,0.0027777777777777,0.0365555555555555,0.0069777777777777,0.0811333333333333,0.0033601683890034,0.0033873840286758,0.0095063028063098,0.0106629222222222,5.888888888888889e-07,0.0032473616161616,6.116464646464645e-05,0.0006055636363636,8.537373737373734e-06,1.2810101010101007e-05,1.3585858585858583e-06,3.688888888888888e-05,2.1131313131313127e-06,0.0002309363636363,0.0,1.88
4,201,232,0.0,0.0039261610243055,0.0164967230902778,0.0030894314236111,0.976487684461806,185.93095037524247,1.0,0.3741421568627454,0.4287990196078433,0.5259208379310452,0.392125,0.3285625000000001,0.1109999999999999,0.03225,0.03396875,0.00090625,0.0046875,0.005125,0.005125,0.0041875,0.08190625,4.821346628467924e-06,4.822896900695772e-05,0.0004536764491578,0.0002099193548387,0.0035547056451612,0.0026983225806451,1.56774193548387e-05,9.074092741935492e-05,5.700604838709683e-06,4.608870967741934e-06,4.354838709677418e-07,4.333870967741932e-05,8.024193548387097e-07,9.82963709677418e-06,0.90625,1.34
5,233,264,0.0,0.00429443359375,0.0294788953993056,0.0010729383680555,0.965153732638889,139.2706768488652,1.0,0.403308823529412,0.3768382352941179,0.5959954363372908,0.4025312499999999,0.3169375,0.10275,0.051625,0.01290625,0.0089375,0.00778125,0.0030625,0.0114375,0.00596875,0.0763437499999999,3.2850268507149815e-05,0.0001045348563207,0.0002933034078122,1.948286290322576e-05,1.7931451612903275e-05,1.999999999999996e-06,1.269354838709677e-05,1.4861895161290329e-05,3.995967741935485e-06,8.860887096774183e-07,1.895161290322584e-07,3.2217741935483866e-06,3.125000000000003e-08,2.5554435483871022e-06,0.6875,1.34
6,265,294,0.0,0.0014721527777777,0.0264136574074074,0.0223552199074074,0.949758969907408,532.5105710848778,1.0,0.413856209150327,0.3958169934640524,0.6541413428096124,0.3064999999999999,0.0484666666666666,0.3145999999999999,0.1038666666666667,0.0899,0.0080666666666666,0.0378333333333333,0.0017,0.0076666666666666,0.0012,0.0803,3.789877456504354e-05,5.6141095157919e-05,0.0001050187675591,0.0004170862068965,0.0026209471264367,0.0016308689655172,0.0001203954022988,0.0002354724137931,4.091954022988503e-07,3.517816091954019e-05,2.862068965517242e-07,6.091954022988503e-06,8.551724137931029e-07,4.286206896551724e-06,0.0333333333333333,1.25
7,295,322,0.0,0.0109697296626984,0.0453004092261905,0.0,0.943729861111111,80.02293546069345,1.0,0.4736694677871149,0.2900560224089635,0.2817053306962511,0.5291428571428572,0.0846428571428571,0.2238571428571429,0.0151785714285714,0.0116071428571428,0.005,0.0119285714285714,0.001,0.0086785714285714,3.571428571428572e-05,0.1090357142857143,0.0002293786069257,0.0006122797702959,0.0050002597380368,0.0025820529100529,7.705291005291009e-05,0.0004470158730158,0.0004063002645502,0.0002086917989417,4.4444444444444454e-07,8.236507936507928e-05,7.40740740740741e-08,9.669312169312174e-07,3.5714285714285725e-08,3.1665343915343885e-05,0.9642857142857144,1.17
8,323,363,0.0,0.0070929454607046,0.104549178523035,0.0188614498644986,0.869496426151762,261.0930741781333,1.2564102564102564,0.3556193208990915,0.4231468197034912,0.6103924133451867,0.2194146341463415,0.0871463414634146,0.2148292682926829,0.1813170731707317,0.1813902439024389,0.0017560975609756,0.0103658536585365,0.0032682926829268,0.0286585365853658,0.0012682926829268,0.0706097560975609,0.0004970696073742,0.0006226873341397,0.0062454127210493,0.0026947487804878,0.0003460780487804,7.874512195121957e-05,0.0010131219512195,0.001044043902439,4.89024390243903e-07,4.937804878048781e-06,4.51219512195122e-07,0.0001821304878048,2.51219512195122e-07,3.609390243902438e-05,0.951219512195122,1.71
9,364,407,0.0,0.0067724984217171,0.0493950284090909,0.0013893781565656,0.942443095012626,140.14331910740842,1.0,0.4361853832442067,0.2858288770053478,0.6070530009395383,0.5404545454545453,0.0716136363636363,0.1617954545454545,0.0362954545454545,0.044090909090909,0.0011590909090909,0.0028181818181818,0.0009545454545454,0.005090909090909,2.272727272727273e-05,0.1355454545454545,8.35912029281306e-05,0.0005881214982365,0.0001145615450044,0.0029699281183932,9.159143763213532e-05,0.0001496083509513,0.0003615153276955,0.0006661310782241,1.3689217758985197e-07,1.5010570824524309e-06,3.234672304439748e-07,3.014799154334035e-06,2.272727272727277e-08,0.0001227188160676,1.0,1.84
10,408,423,0.0,0.0099552734375,0.067672265625,0.0116842230902778,0.910688237847222,281.93533654027345,3.375,0.4259803921568628,0.2299019607843137,0.5026337207878162,0.4299375,0.00725,0.22125,0.066625,0.2452499999999999,6.25e-05,0.002625,0.0019375,0.0156875,0.0009375,0.008625,5.895168524926311e-06,0.0003011662181212,0.0007752597674473,0.0006207291666666,0.0003363333333333,0.0001562,5.478333333333336e-05,0.0030851333333333,6.249999999999998e-08,2.5e-07,6.249999999999998e-08,5.829166666666667e-06,6.25e-08,0.00119025,1.0,0.67
